Month,Genre,MPAA rating,Opening Screens,Total Domestic Gross,First Weekend,Best actors,Top dollar actors,Sequel,Summer release,Holiday release,Christmas release,Ebert review,Oscar nominations,Oscars
August,Comedy,PG-13,2062,9.604,3.5046,0,0,0,1,0,0,3,0,0
November,Comedy,R,1312,9.247,3.344,0,0,0,0,1,0,2,0,0
October,Drama,R,1448,8.838,3.5832,0,0,0,0,0,0,2,0,0
August,Drama,R,965,8.288,2.4651,0,0,0,1,0,0,4,0,0
January,Action,R,2037,8.041,3.8493,0,0,0,0,0,0,2,0,0
May,Comedy,R,625,8.026,2.5173,0,0,0,0,0,0,2,0,0
April,Comedy,PG,1948,7.985,3.1178,0,0,0,0,0,0,2,0,0
March,Comedy,PG-13,1529,7.514,3.3164,0,0,0,0,0,0,2,0,0
January,SF,PG,1041,7.015,3.0336,0,0,0,0,0,0,3,0,0
August,Comedy,R,1905,6.94,3.0861,0,0,0,1,0,0,2,0,0
March,Drama,R,713,6.724,2.4226,0,0,0,0,0,0,2,0,0
November,Drama,R,512,6.712,1.3402,0,0,0,0,0,0,3,1,0
May,Comedy,PG-13,2048,6.114,2.8379,0,0,0,0,0,0,4,0,0
February,Thriller,R,1505,5.84,2.8768,0,0,0,0,0,0,2,0,0
February,Thriller,R,1859,5.657,3.066,0,0,0,0,0,0,1,0,0
March,Comedy,PG,1763,4.308,2.0068,0,0,0,0,0,0,2,0,0
March,Comedy,R,1742,4.002,2.3081,0,0,0,0,0,0,1,0,0
April,Comedy,PG-13,2322,3.551,2.087,0,0,1,0,0,0,2,0,0
April,Action,PG,1412,2.147,1.1106,0,0,0,0,0,0,4,0,0
